"ID","age","value"
"1.1.1","남",232
"1.1.1","여",176
"1.2.1","남",489
"1.2.1","여",605
"1.3.1","남",618
"1.3.1","여",1104
"1.4.1","남",531
"1.4.1","여",711
"1.5.1","남",217
"1.5.1","여",199
"1.6.1","남",60
"1.6.1","여",34
"2.1.1","남",276
"2.1.1","여",190
"2.2.1","남",496
"2.2.1","여",636
"2.3.1","남",564
"2.3.1","여",1179
"2.4.1","남",491
"2.4.1","여",745
"2.5.1","남",189
"2.5.1","여",205
"2.6.1","남",55
"2.6.1","여",36
"3.1.1","남",595
"3.1.1","여",368
"3.2.1","남",893
"3.2.1","여",1200
"3.3.1","남",920
"3.3.1","여",1922
"3.4.1","남",756
"3.4.1","여",1077
"3.5.1","남",292
"3.5.1","여",271
"3.6.1","남",88
"3.6.1","여",43
